Experiment,SRAStudy
SRX003182,SRP000635
SRX003182,SRP000635
SRX003182,SRP000635
SRX003313,SRP000661
SRX003318,SRP000661
SRX003319,SRP000661
SRX003320,SRP000661
SRX003321,SRP000661
SRX003322,SRP000661
SRX003323,SRP000661
SRX003324,SRP000661
SRX003325,SRP000661
SRX003314,SRP000661
SRX003315,SRP000661
SRX003316,SRP000661
SRX003317,SRP000661
SRX003796,SRP000702
SRX003794,SRP000702
SRX003798,SRP000702
SRX003799,SRP000703
SRX003799,SRP000703
SRX003799,SRP000703
SRX003799,SRP000703
SRX003799,SRP000703
SRX003799,SRP000703
SRX003842,SRP000711
SRX003842,SRP000711
SRX003846,SRP000711
SRX003846,SRP000711
SRX003938,SRP000728
SRX003940,SRP000728
SRX003939,SRP000728
SRX003937,SRP000728
SRX011572,SRP001251
SRX011573,SRP001251
SRX011574,SRP001251
SRX011575,SRP001251
SRX011576,SRP001251
SRX011577,SRP001251
SRX011571,SRP001251
SRX011616,SRP001264
SRX011617,SRP001264
SRX011618,SRP001264
SRX013323,SRP001456
SRX013324,SRP001456
SRX014750,Illumina Genome Analyzer
SRX014750,Illumina Genome Analyzer
SRX014750,Illumina Genome Analyzer
SRX014751,Illumina Genome Analyzer
SRX014751,Illumina Genome Analyzer
SRX014751,Illumina Genome Analyzer
SRX014752,Illumina Genome Analyzer
SRX014753,Illumina Genome Analyzer
SRX014753,Illumina Genome Analyzer
SRX014753,Illumina Genome Analyzer
SRX014754,Illumina Genome Analyzer
SRX014754,Illumina Genome Analyzer
SRX014754,Illumina Genome Analyzer
SRX014768,SRP001549
SRX014768,SRP001549
SRX014769,SRP001549
SRX014770,SRP001549
SRX014773,SRP001549
SRX014774,SRP001549
SRX014775,SRP001549
SRX014776,SRP001549
SRX014779,SRP001549
SRX014779,SRP001549
SRX014780,SRP001549
SRX014780,SRP001549
SRX014781,SRP001549
SRX014782,SRP001549
SRX014783,SRP001549
SRX014783,SRP001549
SRX014784,SRP001549
SRX014810,SRP001556
SRX014810,SRP001556
SRX014810,SRP001556
SRX014810,SRP001556
SRX014811,SRP001556
SRX014811,SRP001556
SRX015140,SRP001590
SRX015140,SRP001590
SRX015140,SRP001590
SRX015140,SRP001590
SRX015141,SRP001591
SRX015141,SRP001591
SRX015141,SRP001591
SRX015142,SRP001592
SRX015142,SRP001592
SRX015825,SRP001732
SRX015825,SRP001732
SRX015825,SRP001732
SRX017698,SRP002112
SRX017698,SRP002112
SRX017699,SRP002112
SRX017699,SRP002112
SRX017699,SRP002112
SRX017700,SRP002112
SRX017700,SRP002112
SRX017700,SRP002112
SRX017701,SRP002112
SRX017701,SRP002112
SRX017702,SRP002112
SRX017702,SRP002112
SRX017702,SRP002112
SRX017703,SRP002112
SRX017703,SRP002112
SRX017703,SRP002112
SRX017704,SRP002112
SRX017704,SRP002112
SRX017705,SRP002112
SRX017705,SRP002112
SRX017706,SRP002112
SRX017706,SRP002112
SRX017709,SRP002112
SRX017709,SRP002112
SRX017709,SRP002112
SRX017710,SRP002112
SRX017710,SRP002112
SRX015826,SRP001732
SRX015826,SRP001732
SRX015827,SRP001732
SRX015827,SRP001732
SRX016556,SRP001892
SRX016556,SRP001892
SRX016556,SRP001892
SRX016557,SRP001892
SRX016557,SRP001892
SRX016559,SRP001892
SRX016559,SRP001892
SRX016326,SRP001836
SRX016327,SRP001836
SRX017858,SRP002125
SRX017859,SRP002125
SRX017859,SRP002125
SRX017860,SRP002125
SRX017863,SRP002125
SRX017864,SRP002125
SRX017865,SRP002125
SRX017866,SRP002125
SRX017867,SRP002125
SRX017870,SRP002125
SRX017871,SRP002125
SRX017871,SRP002125
SRX017872,SRP002125
SRX017875,SRP002125
SRX017876,SRP002125
SRX017877,SRP002125
SRX016028,Illumina Genome Analyzer
SRX016028,Illumina Genome Analyzer
SRX016029,Illumina Genome Analyzer
SRX016029,Illumina Genome Analyzer
SRX016030,SRP001760
SRX016031,SRP001760
SRX016032,Illumina Genome Analyzer
SRX016032,Illumina Genome Analyzer
SRX016033,SRP001760
SRX016034,SRP001760
SRX016035,SRP001760
SRX016036,SRP001760
SRX016037,SRP001760
SRX016038,SRP001760
SRX016975,SRP001997
SRX016976,SRP001997
SRX016977,SRP001997
SRX016978,SRP001997
SRX016979,SRP001997
SRX016979,SRP001997
SRX016980,SRP001997
SRX017557,SRP002101
SRX017558,SRP002101
SRX017559,SRP002101
SRX017560,SRP002101
SRX016998,SRP002001
SRX016998,SRP002001
SRX016999,SRP002001
SRX016999,SRP002001
SRX017276,SRP002053
SRX017276,SRP002053
SRX017277,SRP002053
SRX017277,SRP002053
SRX017277,SRP002053
SRX017278,SRP002053
SRX017278,SRP002053
SRX017278,SRP002053
SRX017325,SRP002071
SRX017325,SRP002071
SRX017326,SRP002071
SRX017326,SRP002071
SRX020936,SRP002489
SRX020939,SRP002489
SRX018991,SRP002281
SRX018992,SRP002281
SRX018625,SRP002191
SRX018626,SRP002191
SRX018627,SRP002191
SRX017878,SRP002125
SRX017879,SRP002125
SRX017882,SRP002125
SRX017883,SRP002125
SRX017884,SRP002125
SRX017887,SRP002125
SRX017888,SRP002125
SRX017889,SRP002125
SRX017890,SRP002125
SRX017891,SRP002125
SRX017894,SRP002125
SRX017895,SRP002125
SRX017895,SRP002125
SRX017896,SRP002125
SRX017896,SRP002125
SRX017896,SRP002125
SRX017896,SRP002125
SRX017897,SRP002125
SRX017900,SRP002125
SRX017901,SRP002125
SRX017902,SRP002125
SRX017905,SRP002125
SRX017905,SRP002125
SRX017906,SRP002125
SRX017906,SRP002125
SRX017907,SRP002125
SRX017908,SRP002125
SRX017911,SRP002125
SRX017912,SRP002125
SRX017913,SRP002125
SRX018607,SRP002188
SRX018277,SRP001572
SRX018278,SRP001572
SRX018279,SRP001572
SRX018280,SRP001572
SRX018281,SRP001572
SRX018282,SRP001572
SRX018833,SRP002248
SRX019498,SRP002343
SRX019505,SRP002343
SRX019512,SRP002343
SRX019519,SRP002343
SRX019519,SRP002343
SRX019520,SRP002343
SRX019520,SRP002343
SRX019521,SRP002343
SRX019521,SRP002343
SRX019963,SRP002403
SRX019786,SRP002281
SRX020506,SRP002460
SRX020507,SRP002460
SRX021069,SRP002512
SRX021070,SRP002512
SRX021071,SRP002512
SRX020764,SRP002486
SRX020764,SRP002486
SRX020765,SRP002486
SRX020765,SRP002486
SRX020766,SRP002486
SRX020766,SRP002486
SRX020767,SRP002486
SRX020767,SRP002486
SRX020768,SRP002486
SRX020769,SRP002486
SRX020769,SRP002486
SRX021983,SRP002608
SRX022390,SRP002673
SRX022562,SRP002489
SRX022563,SRP002489
SRX022564,SRP002489
SRX022565,SRP002489
SRX022566,SRP002489
SRX022567,SRP002489
SRX022568,SRP002489
SRX022569,SRP002489
SRX022569,SRP002489
SRX022569,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022571,SRP002489
SRX022571,SRP002489
SRX022571,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022574,SRP002489
SRX022574,SRP002489
SRX022574,SRP002489
SRX022575,SRP002489
SRX022575,SRP002489
SRX022575,SRP002489
SRX022576,SRP002489
SRX022576,SRP002489
SRX022576,SRP002489
SRX022577,SRP002489
SRX022577,SRP002489
SRX022577,SRP002489
SRX022578,SRP002489
SRX022578,SRP002489
SRX022578,SRP002489
SRX022432,SRP002686
SRX022433,SRP002686
SRX022434,SRP002686
SRX022391,SRP002673
SRX022392,SRP002673
SRX022393,SRP002673
SRX022394,SRP002673
SRX022395,SRP002673
SRX022396,SRP002673
SRX022397,SRP002673
SRX023216,SRP002829
SRX022741,SRP002787
SRX022741,SRP002787
SRX022741,SRP002787
SRX022741,SRP002787
SRX023135,SRP002814
SRX023135,SRP002814
SRX023649,SRP002252
SRX023650,SRP002252
SRX023651,SRP002252
SRX023652,SRP002252
SRX023653,SRP002252
SRX023654,SRP002252
SRX023655,SRP002252
SRX023656,SRP002252
SRX023657,SRP002252
SRX023658,SRP002252
SRX023659,SRP002252
SRX023660,SRP002252
SRX023661,SRP002252
SRX026263,SRP003411
SRX026264,SRP003411
SRX026264,SRP003411
SRX026265,SRP003411
SRX026266,SRP003411
SRX026267,SRP003411
SRX026268,SRP003411
SRX026634,SRP003496
SRX026635,SRP003496
SRX026098,SRP003362
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
